Subsystem,Manufacturer,Part number,Qty,Purpose,Design status,Purchase status,Order ref,Source,Notes
Drive,CubeMars,GL100 KV10,1,24 V direct-drive motor,Selected; face ownership fastener depth and bearing gates open,Ordered (RobotShop),RM-CUBE-00P,https://www.cubemars.com/product/gl100-kv10-gimbal-motor.html,
Power,Mean Well,GST60A24-P1J,1,24 V 2.5 A 60 W certified desktop supply,Selected; 90 W fallback only if measured capacity test fails,Ordered (DigiKey),1866-2152-ND,https://www.meanwell.com/Upload/PDF/GST60A/GST60A-SPEC.PDF,cULus LPS-certified (62368-1) within Class 2 power limits but not UL 1310 Class 2-marked; swap to a Class 2-marked adapter only if the City reads the exemption strictly (docs/install.md)
Power,Qualtek,AC30UNA-R,1,AC line cord for the 24 V supply,Selected,Ordered (DigiKey),993-AC30UNA-R-ND,,
Motor PCB,Texas Instruments,MCF8316DVRGFR,1,Sensorless FOC driver with integrated FETs,Selected (swapped 2026-07 from MCF8316DULVRGFR: identical silicon/pinout/registers; DULV adds only UL 60730-1 recognition + self-test library our external safety chain replaces),Ordered (DigiKey 2026-07-28; qty 2),,https://www.ti.com/product/MCF8316D,LCSC C47122159 - unlocks JLCPCB auto-assembly; do not reuse A1/C register dumps (D map differs)
Control PCB,Espressif,ESP32-C6-MINI-1-H4,1,Local Matter supervisor rated -40 to 105 C,Selected over N4 normal-temperature variant,Not ordered,,https://www.espressif.com/en/module/esp32-c6-mini-1-en,LCSC C6553337; Extended part; Standard-PCBA only (MSL3)
Control PCB,Texas Instruments,TPSM365R6V3RDNR,1,65 V input fixed 3.3 V 600 mA module,Selected,Not ordered,,https://www.ti.com/product/TPSM365R6,LCSC C18208843 (Extended)
Control PCB,Texas Instruments,TPD2EUSB30DRTR,1,USB-C D-/D+ ESD protection array (SOT-563),Selected for V1 development USB,Not ordered,,https://www.ti.com/product/TPD2EUSB30,LCSC C97502; healthy stock
Analog PCB,Texas Instruments,TPS7A1601ADGNR,1,60 V input adjustable 12 V tach-rail regulator,Selected,Not ordered,,https://www.ti.com/product/TPS7A16,LCSC C6886485
Safety PCB,Texas Instruments,TPS3435CAKAGDDFR,1,Independent 1.6 s MCU watchdog,Selected; fixed-time pinout C SOT-23-8,Ordered (DigiKey 2026-07-28; qty 2),,https://www.ti.com/product/TPS3435/part-details/TPS3435CAKAGDDFR,LCSC C6339182; stock recovered by 2026-07-28 (DigiKey 6928; was 39); in DigiKey order 374750597 (qty 2)
Safety PCB,Texas Instruments,SN74LVC1G74DCTR,2,Permission latch plus power-cycle-only overspeed/tach lock,Selected,Not ordered,,https://www.ti.com/product/SN74LVC1G74,LCSC C840104
Safety PCB,Diodes Inc,2N7002K-7,2,DRVOFF pull-down plus Hall-to-12 V level shift,Selected,Not ordered,,https://www.diodes.com/part/view/2N7002K,
Safety PCB,Nexperia,BAT54H,6,Five U5 /CLR fault-source diodes plus the U6 /PRE discharge diode,Selected (qty re-corrected 2026-07 delta review),Not ordered,,https://www.nexperia.com/product/BAT54H,
Safety PCB,Texas Instruments,SN74LVC1G17DCKR,2,Schmitt buffers for U5 /CLR and the delayed U6 /PRE (2026-07 review fix),Selected,Not ordered,,https://www.ti.com/product/SN74LVC1G17,LCSC-stocked part family
Overspeed,Texas Instruments,DRV5033FAQDBZR,1,Independent one-pulse Hall tachometer,Selected,Ordered (DigiKey 2026-07-28; qty 3),,https://www.ti.com/product/DRV5033,LCSC C2869057
Overspeed,Texas Instruments,LM2907M/NOPB,1 plus spares,14-pin SOIC frequency-to-voltage conversion,Selected and calibrate on V1; TI lifecycle Active (verified 2026-07),Ordered (DigiKey 2026-07-28; qty 3),,https://www.ti.com/product/LM2907-N/part-details/LM2907M/NOPB,Last monolithic F-to-V family; fallback if supply dries up is a discrete comparator + charge-pump redesign. Stock recovered by 2026-07-28: DigiKey 730 (was ~56); in DigiKey order 374750597 (qty 3)
Overspeed,Texas Instruments,TLV1701AIDBVR,1,200 RPM nominal analog trip comparator,Selected,Not ordered,,https://www.ti.com/product/TLV1701,LCSC C130035
Overspeed,Bourns,3296Y-1-204LF,1,200 kOhm 10-turn V1 trip calibration,Selected for V1 (swapped from 3296W-1-204LF 2026-07-28: W is 0-stock at DigiKey until ~Aug 31; Y is the same 3296 family top-adjust - NOTE different pin layout so use the Y footprint at layout),Ordered (DigiKey 2026-07-28; qty 2),,https://www.bourns.com/products/series/3296,In DigiKey order 374750597 (qty 2; 1214 in stock)
Overspeed,Nexperia,BAT54S,1,VTACH comparator-input rail clamps,Selected,Not ordered,,https://www.nexperia.com/product/BAT54S,
Overspeed,Generic (owner stock),Neodymium disc 1/4 x 1/8 in (Ø6.35 x 3.18),3 (1 magnet + population for matching),One-pulse rotor magnet (CW-100 slugs are mass-matched to the installed magnet),Selected 2026-07-28 - imperial swap; RH-100 pockets resized Ø6.10x3.15 -> Ø6.45x3.35 (hub unfabricated so free); metric 6x3 N52 was uneconomic to source,In stock (owner already has 1/4 x 1/8 discs in regular use),,,Grade unmarked/unknown - fine: field margin is ~15x even at N35 (docs 2026-07-28 calc) and the BR-100 Hall-gap qualification (1.5-4.0 mm window) is the functional gate either way
Protection,Diodes Inc,DMP6023LE-13,1,60 V P-MOS reverse polarity protection,Selected,Not ordered,,https://www.diodes.com/part/view/DMP6023LE,LCSC C154901
Protection,Vishay,MMSZ5242B-E3-08,1,12 V gate-source clamp for the reverse-polarity PMOS,Selected (Vishay variant 2026-07-28: Diodes -7-F is 40-wk backordered at DigiKey and the onsemi BT1G is marketplace-only there; same MMSZ5242B die spec),Ordered (DigiKey 2026-07-28; qty 5),,https://www.vishay.com/en/product/85786/,In DigiKey order 374750597 (qty 5; 5889 in stock). Diodes MMSZ5242B-7-F (LCSC C500776) remains the LCSC-path equivalent
Protection,Littelfuse,SMCJ24A,1,24 V bus transient backstop,Mandatory scoped-bus V1 gate,Not ordered,,https://www.littelfuse.com/products/overvoltage-protection/tvs-diodes/surface-mount/smcj/smcj24a,Diodes SMCJ24A-13-F (LCSC C135154) is an equivalent for LCSC sourcing
Power PCB,Panasonic,EEU-FR1H471,2 plus 2 spares,470 uF 50 V low-ESR bus bulk,Selected,Ordered (DigiKey 2026-07-28; qty 4),,https://industrial.panasonic.com/ww/products/pt/aluminum-cap-lead/models/EEUFR1H471,Panasonic FR radials are unreliable on LCSC - in DigiKey order 374750597 (qty 4; genuine matters for the low-ESR spec)
Power PCB,Sunlord,SWPA4018S470MT,1,47 uH MCF auxiliary buck inductor,Selected 2026-07-28 (replaces Coilcraft LPS4018-473MRC: at DigiKey the Coilcraft is now marketplace-only with a separate shipping fee; the buck is a tens-of-mA aux rail so any shielded 47 uH with adequate Isat works),Not ordered,,https://www.sunlordinc.com,Same 4.0 x 4.0 x 1.8 package as the LPS4018 - footprint unchanged so a Coilcraft can drop back in anytime; source via LCSC with the board order (confirm C-number and Isat >= ~0.5 A at capture). Coilcraft LPS4018-473MRC (DigiKey 2457-LPS4018-473MRC-ND) remains the premium alternate
Wall box,Switchcraft,721A,1,2.1 mm 5 A DC input jack for P1J plug,Selected,Ordered (DigiKey),SC3508-ND,https://www.switchcraft.com/dc-power-jack-0-084-2-1mm-pin-solder-lugs-termination/721a/,
Wall box,Littelfuse,0FHA0200Z,1,Covered inline ATO fuse holder,Selected,Ordered (DigiKey),F3209-ND,https://www.digikey.ca/en/products/detail/littelfuse-commercial-vehicle-products/0FHA0200Z/2516485,
Wall box,Littelfuse,0287003.H,2,3 A source fuse plus spare,Selected; verify nuisance-free startup,Ordered (DigiKey),0287003.H-ND,https://www.digikey.ca/en/products/detail/littelfuse-inc/0287003-H/3104042,
Wall box,E-Switch,300SP1J1BLKM2QE,1,5 A 28 VDC hard cutoff,Selected,Ordered (DigiKey),EG4311-ND,https://www.digikey.ca/en/products/detail/e-switch/300SP1J1BLKM2QE/668609,
Cable,Belden,5300UE 18/2,Measure,CMR FT4 wall-to-ceiling 24 V feed; total source-to-board run at most 20 ft or use 16 AWG plus rated 18 AWG pigtail splice,Selected,Ordered (DigiKey; by the foot),135-5300UE008500-DS-ND,https://catalog.belden.com/techdata/EN/5300UE_techdata.pdf,
PCB connector,Molex,43045-0200,1,Two-circuit Micro-Fit right-angle board header for power (J1),Selected,Ordered (DigiKey),WM1813-ND,https://www.molex.com/en-us/products/part-detail/430450200,Right-angle dual-row; verified against order 2026-07
PCB connector,Molex,43650-0300,1,Three-circuit Micro-Fit single-row right-angle board header for phases (J2),Selected; corrects the stale 43045-0300 callout (no 3-ckt dual-row exists),Ordered (DigiKey),WM1861-ND,https://www.molex.com/en-us/products/part-detail/436500300,Right-angle single-row; verified against order 2026-07
Cable connector,Molex,43025-0200,1,Two-circuit Micro-Fit mating receptacle for power,Selected,Ordered (DigiKey),WM1783-ND,https://www.molex.com/en-us/products/part-detail/430250200,
Cable connector,Molex,43645-0300,1,Three-circuit Micro-Fit single-row mating receptacle for phases,Selected; corrects the stale 43025-0300 callout,Ordered (DigiKey),WM1846-ND,https://www.molex.com/en-us/products/part-detail/436450300,
Cable contact,Molex,43030-0038,5 plus spares,Micro-Fit female crimp contact for 18 AWG leads,Selected for the 18 AWG power and phase pigtails,Ordered (DigiKey),WM13070CT-ND,https://www.molex.com/en-us/products/part-detail/430300038,
PCB connector,JST,B3B-PH-K-S,1,Three-pin Hall daughterboard interface (J3),Selected,Not ordered,,https://www.jst-mfg.com/product/index.php?series=199,Source with the board order via LCSC (genuine if stocked; PH clones acceptable for a friction-fit standard). DigiKey genuine was backordered 2026-07 and would have held the one-shipment insurance order - dropped from that cart
PCB connector,JST,B2B-PH-K-S,1,Two-pin optional temperature interface (J4),Selected,Not ordered,,https://www.jst-mfg.com/product/index.php?series=199,Same sourcing note as B3B-PH-K-S
Cable connector,JST,PHR-3,1,Mating housing for J3 Hall cable,Selected,Ordered (DigiKey 2026-07-28; qty 2),,https://www.jst-mfg.com/product/index.php?series=199,
Cable connector,JST,PHR-2,1,Mating housing for J4 temperature cable,Selected,Ordered (DigiKey 2026-07-28; qty 2),,https://www.jst-mfg.com/product/index.php?series=199,
Cable contact,JST,SPH-002T-P0.5S,5 plus spares,PH crimp contact for 24-30 AWG,Selected for the Hall and temperature cables,Ordered (DigiKey 2026-07-28; 100-strip - min pack),,https://www.jst-mfg.com/product/index.php?series=199,
PCB connector,JST,SM04B-SRSS-TB(LF)(SN),1,Four-pin SH side-entry I2C dev interface (J5),Selected; standard Qwiic-style side-entry - confirm side vs top entry against board layout at capture,Not ordered,,https://www.jst-mfg.com/product/index.php?series=231,LCSC C160404; mate with a pre-made SH/Qwiic cable rather than hand-crimping SSH-003T contacts - Adafruit 4209 (SH-to-male-jumpers; DigiKey 1528-4209-ND $0.95) added to DigiKey order 374750597 on 2026-07-28
PCB connector,GCT,USB4105-GF-A,1 plus 1 spare,Native USB-C data interface (J6),V1 development,Ordered (DigiKey 2026-07-28; qty 2),,https://gct.co/connector/usb4105,GCT presence on LCSC is unreliable - in DigiKey order 374750597 (qty 2) so layout designs to a footprint physically in hand
PCB fab,JLCPCB,Controller V1 78 x 58 mm,1 batch,Four-layer 2 oz ENIG controller board,After KiCad capture (docs/electrical.md),Not ordered,,../docs/electrical.md,Assembly (PCBA) vs hand-population TBD; most ICs are Extended parts (feeder fees)
PCB fab,JLCPCB,Hall daughterboard 18 x 8 mm,1 batch,DRV5033 carrier for the independent tach (mounts on BR-100),After KiCad capture; panelize with V1 order,Not ordered,,../docs/electrical.md,
Retention,Generic certified assembly,1/8 in 7x19 304 SS lanyard,1,Independent safety tether,Specify complete rating at least 4.5 kN,Not ordered,,https://www.e-rigging.com/one-eighth-inch-7x19-type-304-stainless-steel-wire-rope,
Mounting,Simpson Strong-Tie,THD37300H (3/8 x 3 in Titen HD),2 plus 1 spare,Primary ceiling anchors (3.3x margin cracked; 70 mm hole),Selected 2026-07 (replaced Hilti KB-TZ2 after owner cost research; ESR-2713),Ordered (ohcanadasupply.ca; singles ~$1.44),,https://www.strongtie.com,Heavy flat washers over the 11x20 slots; torqued once - never fully removed; spare doubles as tether if validated catch peak <=1.7 kN
Mounting,Simpson Strong-Tie,THD37400H (3/8 x 4 in Titen HD),1 plus 1 spare,Tether anchor (7.81 kN; covers both load bases; 89 mm hole),Selected default; simplify to a third THD37300H if validated catch peak <=1.7 kN,Ordered (ohcanadasupply.ca; singles ~$1.53),,https://www.strongtie.com,Keep >=190 mm from primaries; forged shoulder eyebolt or rated eye nut termination
Custom mechanics,Bambu Lab,PPA-CF filament,1 spool,Blade root-print (segA) material candidate,Adapter deleted 2026-07-28 (BP-100 v3 integrates the root; docs/blade-v2.md); the qualified filament research now targets the loaded root print - segA material is owner's call vs LW-PLA; backups 3DXTech CF-HTN / Siraya Fibreheart PPA-CF,Not ordered,,https://store.bambulab.com/products/ppa-cf,Dry 100-140 C 8-12 h; anneal 120-140 C 6-12 h with geometry validation - procedure in docs/parts.md
Custom mechanics,Generic,3 dia x 400 mm pultruded CF rod,4 plus spares,BP-100 blade spar (cut to 374 mm; one per blade; print 4 select 3),Selected 2026-07-27; v3 span r56-r430 2026-07-28; strength validation is owner-scope,Not ordered,,,Bonds into a 3.4 mm channel spanning r56-r430 - docs/blade-v2.md
Custom mechanics,Generic (brand TBC),Aero/LW-PLA foaming filament,1 spool,BP-100 blade segment material,Selected class 2026-07-27; specific brand is the owner's print-engineering call,Not ordered,,,Segments print joint-face down leaning ~30 deg - docs/blade-v2.md
Custom mechanics,JLCCNC,MP-100 ceiling plate,1,210 dia x 6.0 SUS304 brushed; 10 x M3 blind taps; double-D spindle pocket,Released 2026-07-27; rev A STEP + PDF in cad/,Ordered (JLCCNC ~$130),,../cad/MP-100_revA.pdf,First custom part ordered. Flatness 0.30 mm is a PDF-only callout that JLC does not contractually hold - check with a straightedge on arrival BEFORE drilling the ceiling
Custom mechanics,JLCCNC,ST-100 carrier standoff,4 (3 plus 1 spare),16 dia x 62.0 6061-T6; M6x1 tapped 12 deep both ends,Released 2026-07-28; rev A STEP + PDF in cad/,Not ordered,,../cad/ST-100_revA.pdf,Length +/-0.10 and 0.05 end squareness are PDF-only callouts JLC does not contractually hold - verify with calipers and a square on arrival
Custom mechanics,Per docs/parts.md,SP-100 through ENC-100,1 set,Spindle carrier hub capture blades housing,SP-100 awaits measured motor axial length + KD-100 washer thickness; MC-100/RH-100/BR-100 still blocked on motor gates,Not ordered,,../docs/parts.md,BL-100/LS-100/BA adapters all superseded by integrated-root BP-100 v3 (docs/blade-v2.md; re-export cad/BP-100.step pending)
Mounting,Generic (DIN 935),M12 A4 castellated nut,1 plus 1 spare,Retains KD-100 catcher against the SP-100 Z120.7 shoulder,Selected 2026-07-27; sets the SP-100 thread end (Z142.0) and cotter hole (Z137.2 nominal; set from measured KD-100 thickness),Ordered (Accu 2026-07-28),,https://www.fasteners.eu/standards/DIN/935/,s 19.0 / m 15.0 / m' 10.0 / six 3.2 mm slots; installs bearing-face-up crown downward (docs/parts.md "SP-100 bottom-end stack"). Hard to buy in singles: Accu HCTN-M12-A4 per-piece or email sales@ohcanadasupply.ca for a 2-pc special-order fill (FASZCNMBF16 ~$8.94 CAD)
Mounting,Generic (ISO 1234),3.2 x 32 A4 split pin,1 plus 2 spares,Cotter through the SP-100 Z137.2 cross-hole,Selected 2026-07-27,Ordered (Accu 2026-07-28),,https://www.fasteners.eu/standards/ISO/1234/,Trim legs to suit; one-time-use - replace after any removal per the fastener release practice. Accu HSPP-3.2-32-A4 sells per-piece; everyone else is 1000-pc boxes
Mounting,Accu (DIN 440),HDW-M12-A4 washer Ø44 x Ø13.5 x 4 A4,3,KD-100 catcher disk (replaces the custom Ø50 x 4 laser part; docs/parts.md),Selected 2026-07-28 (final; supersedes the same-day Amazon Ø50 x Ø12 x 6 pick - Amazon order cancelled); stamped - measure thickness on arrival and set the SP-100 cross-hole from it (Z = t + 133.2),Ordered (Accu 2026-07-28),,https://www.accu.co.uk/threaded-hardware-washers/119781-HDW-M12-A4,~$6.88/ea at qty 3 in the Accu fastener order; original 4 mm stack derivation applies (thread end Z142.0 / cotter Z137.2)
Mounting,Generic,M3 P-clip cable clamp,2 plus 1 spare,Mains strain relief on MP-100 at 15 deg (one per tapped hole; two points beats one),Selected 2026-07-27 (M3 after the tap standardisation),In stock (owner has suitable clips),,,Size to the mains cable OD (Belden 5300UE nominal ~4-5 mm). Clamps to the permanent plate never the removable housing - see docs/parts.md "Cable entry". Needed at install time only
Mounting,Generic (ISO 10642),M6 x 16 A4 flat-head socket screw,3 plus spares,MP-100 countersinks into ST-100 top threads,Selected; parts.md says A4-80 but countersunk A4-80 does not exist at retail - A4-70/A2-70 accepted (owner 2026-07-28; loads trivial),Ordered (Accu 2026-07-28),,https://www.accu.co.uk,Accu plain-A4 per-piece (consolidates with the A4-80 socket-screw order); Bolt Depot A2 fallback
Mounting,Generic (DIN 912),M6 x 20 A4-80 socket-head cap screw,3 plus spares,ST-100 bottom joint through MC-100 with wedge-lock pairs,Selected (lengthened from 18 in the 2026-07 review),Ordered (Accu 2026-07-28),,https://www.accu.co.uk,Accu stocks confirmed A4-80 DIN 912 per-piece
Mounting,Nord-Lock,M6 x 13.5 Nord-Lock washer pairs (254/316L),5 pairs,Locking under the M6 x 20 heads at MC-100,Selected; genuine Nord-Lock via Accu (found 2026-07-28 - replaces the Global Industrial US plan); 2 mm pair height gives ~10 mm engagement at M6 x 20 - full 1.5D,Ordered (Accu 2026-07-28),,https://www.accu.co.uk/nord-lock-washers/589423-HNLW-M6-13-5-A4,$3.97/ea (pair) at qty 5 in the Accu fastener order
Mounting,Generic (DIN 912/DIN 125),M3 hedge kit: 10x M3 x 6 + 10x M3 x 8 A4 socket caps + 20x M3 washers,1 set,Bracket hardware hedge for EB-100 / BR-100 / ENC-100 tabs (exact lengths pend bracket designs),Selected 2026-07-28; cheap insurance on the flat-rate Accu shipment - wrong-length fallback is local A2,Ordered (Accu 2026-07-28),,https://www.accu.co.uk,Accu SSCF-M3-6-A4 / SSCF-M3-8-A4 / HPW-M3-A4 (~$16 total)
Mounting,Generic (ISO 10642),M4 x 10 A4 flat-head socket screw,4 plus spares,RH-100 to GL100 rotating face; heads 0.1-0.2 mm subflush,Selected; same A4-80 retail-availability caveat as the M6 flat-heads - A4-70/A2-70 accepted,Ordered (Accu 2026-07-28),,https://www.boltdepot.com,Engagement 2.0 mm nominal vs 3.5 max - verify on the physical motor before install
Mounting,Generic (DIN 912),M4 x 12 A4-80 socket-head cap screw,4 plus spares,MC-100 to GL100 stationary face through 1.5 mm counterbores,Selected,Ordered (Accu 2026-07-28),,https://www.accu.co.uk,Accu 614901-SSCF-M4-12-A4-80 per-piece; ~5.5 mm engagement vs 6.0 max - verify first
Mounting,Generic (DIN 912),M5 x 22 A4-80 socket-head cap screw,12 plus spares,BP-100 v3 blade root bolts through RH-100 stations,Selected 2026-07-28; length derived: 8 hub + 7 root above pocket + ~4 nut + >=2 mm through-nut protrusion (tip lands at/just past the root underside in free air); confirm against the delivered nut height,Ordered (Accu 2026-07-28),,https://www.accu.co.uk,Accu stocks A4-80 M5 x 20 and x 22 per-piece
Mounting,Generic (DIN 980 3-punch),M5 A4 all-metal prevailing hex nut,12 plus spares,Blade root nut pockets (8.1 AF x 5.0 deep),Selected; MUST be the 3-punch standard-height style (~4.0 mm tall) - the common DIN 980V/ISO 7042 oval-top style is 5.1-6.0 mm and does not fit the pocket,Ordered (Accu 2026-07-28),,https://www.accu.co.uk/metal-locking-nuts/7987-HLN-M5-A4,Bought as Accu HLN-M5-A4: 8.0 AF (+0/-0.22) x 4.0 max height per tech spec - fits. Caliper-verify AF <= 8.1 and height <= 5.0 on arrival anyway
Mounting,Generic,M2 x 5 A2 pan-head screw,6 plus spares,MR-100 tach-cap retention into RH-100 top-face taps,Selected,Ordered (Accu 2026-07-28),,https://www.accu.co.uk,Bought as Accu SPP-M2-5-A2 (pozi pan); Bolt Depot #6812 was the NA fallback
Custom mechanics,Generic,C360 brass round rod 1/4 in,1,CW-100 balance slug stock (two slugs trimmed to ~Ø6.35 x 2.8),Selected (1/4 in to match the imperial magnet 2026-07-28),Ordered (Amazon ~$16),,,Weigh the chosen magnet first - slug target mass = magnet installed mass
