Designator,Mid X,Mid Y,Layer,Rotation
C3,79.000000,-100.500000,Top,-90.000000
C4,78.000000,-78.500000,Top,90.000000
C5,80.300000,-96.000000,Top,-90.000000
C7,76.500000,-57.500000,Top,0.000000
C8,81.000000,-61.000000,Top,0.000000
C9,91.500000,-59.000000,Top,0.000000
C10,91.000000,-63.000000,Top,0.000000
C11,84.000000,-57.500000,Top,90.000000
C12,80.300000,-92.800000,Top,-90.000000
C13,80.100000,-89.150000,Top,180.000000
C14,88.400000,-93.750000,Top,0.000000
C15,83.600000,-88.300000,Top,0.000000
C16,69.800000,-94.000000,Top,180.000000
C17,128.500000,-61.500000,Top,0.000000
C18,123.000000,-63.800000,Top,90.000000
C19,103.000000,-69.000000,Top,90.000000
C20,104.200000,-56.800000,Top,0.000000
C22,97.500000,-99.000000,Top,90.000000
C23,104.000000,-85.000000,Top,0.000000
C24,103.500000,-100.000000,Top,90.000000
C25,105.300000,-95.700000,Top,0.000000
C26,116.000000,-105.500000,Top,90.000000
C27,115.100000,-101.000000,Top,0.000000
C28,105.800000,-102.500000,Top,-90.000000
C29,125.800000,-100.500000,Top,90.000000
C30,108.800000,-98.800000,Top,0.000000
C31,112.500000,-101.000000,Top,90.000000
C33,126.300000,-96.000000,Top,0.000000
C34,115.000000,-93.800000,Top,90.000000
C35,116.000000,-98.000000,Top,90.000000
C41,133.300000,-100.200000,Top,0.000000
C42,99.200000,-81.500000,Top,90.000000
C43,106.200000,-87.200000,Top,90.000000
D1,56.500000,-84.500000,Top,0.000000
D2,66.500000,-87.000000,Top,90.000000
D3,89.500000,-75.000000,Top,0.000000
D4,94.500000,-75.000000,Top,0.000000
D5,99.500000,-75.000000,Top,0.000000
D6,94.000000,-78.500000,Top,0.000000
D7,90.000000,-85.000000,Top,0.000000
D8,106.000000,-82.000000,Top,0.000000
D9,110.000000,-96.000000,Top,0.000000
J4,112.000000,-53.675000,Top,180.000000
L1,76.000000,-94.000000,Top,180.000000
Q1,66.500000,-77.000000,Top,90.000000
Q2,94.000000,-91.000000,Top,0.000000
Q3,115.000000,-88.500000,Top,90.000000
R1,60.500000,-83.500000,Top,0.000000
R2,60.500000,-85.500000,Top,0.000000
R3,91.000000,-65.800000,Top,0.000000
R4,85.000000,-77.000000,Top,0.000000
R5,87.200000,-77.000000,Top,0.000000
R6,85.000000,-79.000000,Top,0.000000
R7,87.200000,-79.000000,Top,0.000000
R8,89.000000,-87.000000,Top,0.000000
R9,91.000000,-87.000000,Top,0.000000
R10,93.000000,-88.500000,Top,0.000000
R11,100.500000,-69.000000,Top,0.000000
R12,105.500000,-69.000000,Top,0.000000
R13,108.000000,-69.000000,Top,0.000000
R14,88.500000,-81.000000,Top,0.000000
R15,90.700000,-81.000000,Top,0.000000
R16,88.500000,-83.000000,Top,0.000000
R17,90.700000,-83.000000,Top,0.000000
R18,105.000000,-76.500000,Top,0.000000
R19,98.500000,-59.500000,Top,0.000000
R20,101.000000,-59.500000,Top,0.000000
R24,93.000000,-86.000000,Top,90.000000
R25,96.000000,-86.000000,Top,90.000000
R26,91.000000,-90.000000,Top,90.000000
R27,91.000000,-92.000000,Top,90.000000
R28,89.000000,-97.500000,Top,0.000000
R29,91.000000,-96.000000,Top,90.000000
R30,93.000000,-96.000000,Top,90.000000
R31,95.000000,-96.000000,Top,90.000000
R32,97.000000,-93.000000,Top,0.000000
R33,99.000000,-93.000000,Top,0.000000
R34,97.000000,-95.000000,Top,0.000000
R35,99.000000,-95.000000,Top,0.000000
R36,97.000000,-97.000000,Top,0.000000
R37,99.000000,-97.000000,Top,0.000000
R38,104.000000,-91.000000,Top,90.000000
R39,109.900000,-108.550000,Top,0.000000
R40,108.800000,-101.000000,Top,0.000000
R41,110.900000,-101.000000,Top,0.000000
R42,108.000000,-89.000000,Top,0.000000
R43,110.000000,-89.000000,Top,0.000000
R44,108.000000,-91.000000,Top,0.000000
R45,110.000000,-91.000000,Top,0.000000
R46,108.000000,-93.000000,Top,0.000000
R47,110.000000,-93.000000,Top,0.000000
R48,121.000000,-103.000000,Top,0.000000
R49,123.000000,-103.000000,Top,0.000000
R50,125.000000,-103.000000,Top,0.000000
R51,121.000000,-105.000000,Top,0.000000
R52,123.000000,-105.000000,Top,0.000000
R53,125.000000,-105.000000,Top,0.000000
R54,127.000000,-107.000000,Top,0.000000
R58,111.000000,-63.900000,Top,90.000000
R59,112.300000,-63.900000,Top,90.000000
R60,116.650000,-63.200000,Top,90.000000
R61,115.350000,-63.200000,Top,90.000000
RV1,130.000000,-88.500000,Top,0.000000
SW1,93.000000,-70.200000,Top,0.000000
SW2,103.500000,-64.500000,Top,0.000000
SW3,99.500000,-110.000000,Top,0.000000
U1,84.000000,-94.000000,Top,0.000000
U2,122.255000,-75.000000,Top,-90.000000
U3,85.500000,-62.000000,Top,0.000000
U4,111.000000,-104.000000,Top,0.000000
U5,96.000000,-82.000000,Top,0.000000
U6,102.000000,-88.000000,Top,0.000000
U7,102.000000,-96.000000,Top,0.000000
U9,130.000000,-101.500000,Top,0.000000
U10,94.000000,-102.000000,Top,0.000000
U11,101.000000,-102.000000,Top,0.000000
U12,100.000000,-56.500000,Top,0.000000
U13,112.000000,-60.500000,Top,0.000000
U14,116.000000,-60.500000,Top,180.000000
