Designator,Mid X,Mid Y,Layer,Rotation
C3,75.700000,-81.700000,Top,90.000000
C4,79.150000,-81.700000,Top,90.000000
C5,81.000000,-92.300000,Top,90.000000
C7,79.900000,-57.600000,Top,180.000000
C8,80.500000,-60.500000,Top,180.000000
C9,89.900000,-58.000000,Top,0.000000
C10,89.900000,-61.600000,Top,0.000000
C11,85.200000,-56.550000,Top,90.000000
C12,80.100000,-88.700000,Top,180.000000
C13,79.750000,-86.800000,Top,0.000000
C14,90.050000,-83.200000,Top,0.000000
C15,80.100000,-84.900000,Top,0.000000
C16,84.500000,-95.150000,Top,0.000000
C17,108.900000,-65.500000,Top,90.000000
C18,108.900000,-68.510000,Top,0.000000
C19,99.100000,-61.250000,Top,0.000000
C20,108.900000,-71.070000,Top,0.000000
C22,102.950000,-96.250000,Top,90.000000
C23,108.020000,-87.380000,Top,0.000000
C24,110.880000,-86.950000,Top,0.000000
C25,109.400000,-89.100000,Top,0.000000
C26,118.000000,-96.500000,Top,90.000000
C27,120.750000,-96.000000,Top,90.000000
C28,108.000000,-97.500000,Top,90.000000
C29,107.500000,-100.750000,Top,0.000000
C30,115.000000,-100.750000,Top,0.000000
C31,117.250000,-100.750000,Top,90.000000
C33,125.750000,-87.500000,Top,180.000000
C35,113.250000,-86.000000,Top,90.000000
C41,125.750000,-89.000000,Top,180.000000
C42,103.300000,-80.000000,Top,90.000000
C43,112.010000,-82.250000,Top,90.000000
D1,53.750000,-73.300000,Top,0.000000
D2,64.600000,-87.995000,Top,90.000000
D3,100.745000,-83.530000,Top,0.000000
D4,100.745000,-86.080000,Top,0.000000
D5,100.745000,-88.630000,Top,0.000000
D6,100.745000,-91.180000,Top,0.000000
D7,100.745000,-93.730000,Top,0.000000
D8,106.435000,-85.050000,Top,0.000000
D9,121.000000,-77.250000,Top,0.000000
J3,109.500000,-104.400000,Top,0.000000
J4,90.540000,-104.400000,Top,0.000000
J5,71.800000,-54.000000,Top,180.000000
J6,104.000000,-53.000000,Top,180.000000
L1,76.000000,-93.000000,Top,0.000000
Q1,64.600000,-78.300000,Top,90.000000
Q2,96.200000,-84.100000,Top,0.000000
Q3,125.250000,-81.000000,Top,90.000000
R1,52.600000,-71.300000,Top,0.000000
R2,54.900000,-71.300000,Top,0.000000
R3,88.500000,-64.500000,Top,180.000000
R4,89.600000,-72.600000,Top,0.000000
R5,89.600000,-73.900000,Top,0.000000
R6,89.600000,-75.200000,Top,0.000000
R7,89.600000,-76.500000,Top,0.000000
R8,70.400000,-89.000000,Top,0.000000
R9,70.400000,-90.700000,Top,0.000000
R10,70.400000,-92.400000,Top,0.000000
R11,99.100000,-59.900000,Top,0.000000
R12,101.500000,-76.600000,Top,0.000000
R13,101.300000,-59.900000,Top,0.000000
R14,97.100000,-76.600000,Top,0.000000
R15,99.300000,-76.600000,Top,0.000000
R16,97.100000,-77.900000,Top,0.000000
R17,99.300000,-77.900000,Top,0.000000
R18,101.500000,-77.900000,Top,0.000000
R19,108.900000,-69.790000,Top,0.000000
R20,103.500000,-59.900000,Top,0.000000
R21,105.700000,-59.900000,Top,0.000000
R24,93.500000,-82.000000,Top,90.000000
R25,94.850000,-80.000000,Top,90.000000
R26,94.800000,-87.000000,Top,90.000000
R27,94.800000,-89.200000,Top,90.000000
R28,94.800000,-91.400000,Top,90.000000
R29,94.800000,-93.600000,Top,90.000000
R30,94.800000,-95.800000,Top,90.000000
R31,105.140000,-86.970000,Top,0.000000
R32,109.400000,-90.800000,Top,90.000000
R33,111.150000,-89.500000,Top,90.000000
R34,107.050000,-93.200000,Top,90.000000
R35,108.350000,-93.200000,Top,90.000000
R36,109.650000,-93.200000,Top,90.000000
R37,110.950000,-93.200000,Top,90.000000
R38,104.600000,-81.750000,Top,90.000000
R39,85.000000,-78.500000,Top,180.000000
R40,111.000000,-100.750000,Top,0.000000
R41,112.750000,-100.750000,Top,90.000000
R42,118.000000,-77.250000,Top,90.000000
R43,125.750000,-83.750000,Top,0.000000
R44,122.750000,-82.500000,Top,90.000000
R45,122.750000,-80.250000,Top,90.000000
R46,123.500000,-84.250000,Top,180.000000
R47,123.500000,-85.750000,Top,180.000000
R48,113.250000,-88.500000,Top,180.000000
R49,113.250000,-80.000000,Top,0.000000
R50,117.750000,-90.750000,Top,90.000000
R51,122.750000,-87.500000,Top,90.000000
R52,125.750000,-90.500000,Top,180.000000
R53,119.250000,-90.750000,Top,90.000000
R54,118.750000,-92.500000,Top,0.000000
R55,99.100000,-58.300000,Top,0.000000
R56,101.300000,-58.300000,Top,0.000000
R57,103.500000,-58.300000,Top,0.000000
R58,105.700000,-58.300000,Top,0.000000
RV1,114.500000,-91.500000,Top,90.000000
SW1,101.150000,-65.410000,Top,0.000000
SW2,101.150000,-72.460000,Top,180.000000
SW3,100.200000,-103.900000,Top,0.000000
U1,85.000000,-88.000000,Top,0.000000
U2,117.000000,-68.000000,Top,-90.000000
U3,85.000000,-61.000000,Top,0.000000
U4,113.000000,-97.500000,Top,0.000000
U5,99.200000,-80.700000,Top,0.000000
U6,108.600000,-82.200000,Top,0.000000
U7,106.150000,-90.250000,Top,0.000000
U9,122.250000,-91.250000,Top,0.000000
U10,100.750000,-96.250000,Top,0.000000
U11,110.480000,-84.950000,Top,0.000000
U12,108.900000,-62.000000,Top,0.000000
